Size,Product,SKU,PNG File,PDF File
1L,A-X PRO,CXL-AXP-1L,CXL-AXP-1L_A-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-AXP-1L_A-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,B-X PRO,CXL-BXP-1L,CXL-BXP-1L_B-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-BXP-1L_B-X_PRO_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,MICRO-X,CXL-MIC-1L,CXL-MIC-1L_MICRO-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-MIC-1L_MICRO-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,ROOT-X,CXL-ROT-1L,CXL-ROT-1L_ROOT-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-ROT-1L_ROOT-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,VITAL-X,CXL-VIT-1L,CXL-VIT-1L_VITAL-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-VIT-1L_VITAL-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,PK-X,CXL-PKX-1L,CXL-PKX-1L_PK-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-PKX-1L_PK-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,TRACE-X,CXL-TRC-1L,CXL-TRC-1L_TRACE-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-TRC-1L_TRACE-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,IRON-X,CXL-IRN-1L,CXL-IRN-1L_IRON-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-IRN-1L_IRON-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,RIPEN-X,CXL-RIP-1L,CXL-RIP-1L_RIPEN-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-RIP-1L_RIPEN-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
1L,FLUSH-X,CXL-FLS-1L,CXL-FLS-1L_FLUSH-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-FLS-1L_FLUSH-X_1L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
5L,A-X PRO,CXL-AXP-5L,CXL-AXP-5L_A-X_PRO_5L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-AXP-5L_A-X_PRO_5L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
5L,B-X PRO,CXL-BXP-5L,CXL-BXP-5L_B-X_PRO_5L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.png,CXL-BXP-5L_B-X_PRO_5L_REAR_LABEL_WITH_LOCKED_FEED_CHART_v15.pdf
